1,"[862, 15602, 949, 807, 629, 755, 13685, 197, 11780, 1775, 8068, 11017, 2292, 8467, 522, 11, 680, 2164, 11381, 9331, 13, 10714, 854, 178, 9571, 5503, 329, 788, 424, 10442, 10057, 11969, 581, 268, 274, 10895, 275, 954, 10539, 2300, 9802, 664, 602, 11363, 630, 15, 10907, 22292, 3083, 14821, 81310, 15947, 9078, 11360, 11114, 12335, 12092, 9591, 10586, 10218, 252, 583, 500, 792, 402, 601, 2756, 762, 1891, 2493, 85, 185, 28, 1892, 769, 348, 539, 525, 600, 10705, 3109, 218, 3063, 694, 137, 105, 8009, 3034, 756, 89, 12104, 653, 364, 2322, 9361, 14908, 19952, 9434, 816, 1701, 754, 607, 9387, 2118, 9437, 2649, 3597, 563, 115, 11003, 6970, 42807, 617, 11551, 143, 1366, 13597, 941, 9340, 196, 3170, 857, 10957, 10122, 9994, 9354, 9631, 9325, 11319, 13155, 10249, 10882, 13850, 97, 87, 123, 15171, 11704, 4978, 11976, 34584, 4011, 847, 11597, 881, 2109, 162, 73, 3600, 9798, 244, 10029, 11252, 11545, 9326, 11904, 8741, 10658, 30497, 9671, 8388, 111794, 1542, 10803, 871, 100, 603, 9430, 6396, 8592, 564, 1893, 1924, 8536, 138, 3035, 13666, 36685, 104, 9473, 620, 10386, 2280, 1911, 14, 11527, 42518, 861, 1654, 658, 657, 646, 550, 5548, 856, 253, 660, 492, 957, 11886, 1832, 10047, 9289, 497, 624, 1213, 10406, 2005, 8872, 4234, 820, 1497, 1499, 1880, 801, 11520, 526, 879, 106, 98, 9285, 682, 11072, 9659, 8810, 482, 6978, 479, 36657, 10276, 1857, 651]"
2,"[278, 11381, 489, 98, 24, 1538, 9718, 1422, 155, 12133, 16869, 19908, 11324, 39452, 27205, 23168, 44639, 45523, 59440, 49026, 65754, 68718, 106646, 157336, 244786, 154400, 264660, 76341, 321640]"
3,"[9909, 424, 10684, 27281, 503475, 10061, 11113, 10537, 11816, 11778, 11202, 8009, 2323, 152, 9387, 3170, 10340, 11319, 97, 1091, 9489, None, 24831, 13342, 8810, 641, 11347, 11888, 54287, 28893, 21874, 38849, 12157, 39916, 49636, 13282, 98851, 26914, 14161]"
4,"[8012, 63, 577, 807, 11448, 11010, 11907, 2074, 27793, 26564, 17447, 9071, 32646, 76, 22625, 10451, 522, 1024, 11, 18183, 680, 9905, 236, 2759, 11382, 10464, 712, 9359, 16771, 9571, 16297, 5503, 7984, 10440, 713, 23210, 858, 11969, 812, 274, 10020, 576, 275, 954, 8866, 85778, 26748, 44705, 981, 872, 164, 567, 213, 239, 289, 11113, 630, 770, 303, 18299, 9078, 10938, 9716, 10218, 252, 11561, 623, 583, 475, 521, 11386, 221, 762, 18129, 409, 10409, 1891, 2493, 85, 68, 389, 144, 769, 539, 279, 826, 235, 137, 33, 339, 756, 288, 11031, 89, 642, 75, 16448, 9366, 9434, 816, 607, 8834, 2118, 9427, 489, 10217, 115, 26941, 27103, 29193, 17139, 9452, 9844, 1965, 15037, 10674, 20862, 9464, 544, 1725, 15389, 13597, 2108, 346, 793, 9325, 6471, 11522, 8393, 4011, 845, 21734, 31997, 11855, 637, 4518, 19426, 10162, 8545, 11545, 9326, 192, 603, 9465, 9451, 1893, 817, 104, 345, 745, 913, 11353, 813, 1075, 14, 40867, 11901, 11054, 550, 11562, 492, 957, 11498, 11663, 10399, 99, 334, 926, 1213, 16241, 11287, 11004, 12186, 3114, 820, 462, 243, 879, 10747, 10557, 13105, 1052, 10276, 38548, 786, 13785, 71, 146, 2609, 392, 2046, 5001, 134, 21991, 11973, 1900, 10499, 2614, 843, 19513, 77, 4133, 634, 13898, 70282, 4973, 824, 29937, 11444, 1548, 742, 18734, 10778, 671, 1433, 8342]"
5,"[862, 8012, 9598, 687, 9603, 629, 11010, 197, 568, 414, 10451, 1024, 628, 9587, 18183, 4476, 527, 680, 11450, 2164, 278, 3049, 9331, 712, 8587, 854, 36955, 2758, 5503, 9386, 7984, 1245, 424, 11236, 10445, 812, 280, 581, 268, 408, 10020, 10895, 114, 275]"
6,"[8844, 15602, 31357, 11862, 949, 11860, 45325, 710, 9087, 21032, 1408, 524, 4584, 9273, 8012, 1710, 12665, 451, 16420, 9263, 9909, 63, 9598, 687, 31174, 35196, 577, 11861, 807, 629, 26441, 11359, 17182, 2054, 9536, 11525, 9102, 9623, 10534, 17414, 13997, 2086, 9095, 12158, 9208, 11062, 47475, 9614, 688, 197, 33542, 43566, 27793, 9101, 9302, 11000, 9737, 30765, 568, 11780, 414, 8839, 20649, 10329, 8963, 8068, 1572, 6520, 10428, 17447, 19326, 8973, 47608, 2293, 9070, 1642, 11472, 58372, 10533, 18402, 9348, 47939, 3512, 52856, 9560, 9804, 31611, 65796, 26258, 11017, 37141, 9382, 6715, 22625, 1909, 8984, 11929, 8467, 18395, 397, 10525, 15789, 27303, 47867, 17207, 14819, 32631, 11777, 628, 87729, 6280, 9061, 37108, 9587, 19101, 18183, 4476, 11008, 43742, 28313, 3036, 40490, 8986, 10510, 38722, 11593, 1945, 241, 9058, 18220, 6950, 101, 680, 10452, 12106, 161495, 36357, 28033, 22586, 14334, 2636, 2164, 11395, 278, 9067, 193, 25066, 12122, 11381, 95963, 1587, 2064, 19855, 236, 48287, 3049, 10497, 11382, 9331, 10731, 10464, 34152, 9495, 29973, 888, 13, 712, 16295, 48992, 10879, 10660, 10714, 8587, 11596, 854, 9359, 36593, 12280, 11011, 1637, 15128, 36955, 10449, 10395, 12160, 8011, 2758, 10436, 9409, 11853, 11041, 4722, 11310, 9350, 9612, 26261, 11566, 26141, 16297, 37233, 1634, 5503, 35588, 41579, 9255, 10612, 2259, 106143, 9386, 7984, 15765, 329, 9593, 12121, 2246, 10502, 9516, 2320, 11971, 788, 11231, 31586, 9800, 713, 8291, 1245, 11858, 8005, 14534, 424, 11236, 11592, 43535, 12519, 858, 867, 13203, 10442, 9607, 9057, 10057, 11969, 31504, 10897, 251, 812, 280, 581, 268, 274, 408, 10020, 10895, 114, 10824, 275, 25059, 10112, 1592, 19042, 9099, 10988, 10684, 10543, 25087, 20762, 12656, 25969, 9103, 8866, 12233, 23449, 36355, 9304, 664, 16299, 9879, 7095, 41225, 602, 10545, 44535, 10779, 38223, 9294, 12606, 2925, 18555, 10830, 3573, 10546, 9431, 47907, 10478, 23945, 9306, 12559, 19004, 10987, 125587, 52855, 11076, 1770, 9333, 9401, 9625, 6346, 9591, 10586, 819, 11238, 252, 21711, 475]"
7,"[862, 629, 11010, 568, 1572, 11, 13, 36955, 9255, 329, 251, 812, 280, 268, 274, 10020, 954, 935, 602, 770, 62, 744, 409, 1891, 28, 1892, 539, 525, 218, 207, 105, 816, 686, 1669, 2118, 37165, 2898, 95, 544, 1366, 346, 637, 9798, 871, 1893, 1924, 509, 817, 2275, 8487, 2978, 745, 14, 863, 2067, 462, 98, 955, 36657, 37137, 10637, 4327, 9741, 3981, 853, 634, 808, 676, 644, 869, 9880, 3172, 167, 585, 671, 161, 120, 453, 425, 557, 1894, 180, 608, 4147, 2675, 129, 672, 121, 640, 1574, 36658, 604, 1927, 22, 1584, 605, 616, 122, 8696, 9509, 4909, 809, 673, 9890, 9472, 558, 2502, 314, 6947, 1538, 11130, 5137, 10145, 10555, 11128, 9675, 176, 1677, 9806, 5255, 866, 2059, 163, 12496, 2567, 9833, 9470, 2026, 9928, 10040, 187, 1495, 1895, 272, 9722, 74, 1635, 398, 9763, 9899, 36668, 920, 2044, 9697, 1452, 1422, 3683, 1427, 36557, 7551, 1581, 1125]"
8,"[8844, 710, 9087, 8012, 63, 9598, 9603, 807, 629, 197, 11000, 568, 414, 1642, 11472, 9804, 8467, 522, 397, 11777, 628, 1945, 6950, 680, 11395, 278, 2064, 13, 712, 8587, 854, 1637, 36955, 11310, 11566, 37233, 5503, 329, 788, 424, 858, 771, 251, 581, 268, 274, 114]"
9,"[31174, 36196, 2292, 12280, 12520, 599, 15, 10163, 9504, 85, 105, 9281, 36599, 165, 196, 242, 30197, 11326, 9638, 9563, 4816, 9040, 32058, 9493, 120, 425, 1894, 180, 57022, 9719, 818, 7451, 13888, 10750, 36669, 6007, 25239, 25284, 2757, 121, 3131, 2149, 19067, 21332, 262, 80965]"
10,"[680, 13, 812, 114, 289, 433, 88, 37247, 639, 2898, 10674, 603, 509, 745, 14, 550, 98, 1588, 634, 808, 8835, 120, 453, 10229, 245, 11529, 7303, 121, 2642, 9919, 10735, 12, 10327, 508, 6964, 3635, 122, 11820, 14844, 1824, 11137, 10625, 652, 594, 11036, 558, 2502, 11130, 13969, 9806, 9801, 866, 205, 6961, 8488, 8976, 787, 272, 4348, 69, 116, 1402, 36557, 1581, 1271, 6691, 2977, 2503, 7326, 6557, 8390, 155, 10761, 9029, 11631, 5038, 12620, 10764, 8966, 10201, 10184, 14160, 18240, 767, 20943, 24803, 24684, 22947, 4475, 18239, 34653, 10198, 19995, 10528, 32856, 37565, 24021, 20352, 37735, 38357, 45269, 38757, 43347, 42888, 41630, 55787, 49444, 50646, 50014, 50619, 49026, 77338, 74534, 62177, 77930, 1930, 57800, 37724, 97365, 87827, 50620, 93456, 117251, 122906, 209263, 57158, 109445, 106646, 140823, 120467, 157336, 242042, 82881, 228194, 174337, 207703, 268238, 206647, 264999, 257211]"
