Toy Story (1995),862
Jumanji (1995),8844
Grumpier Old Men (1995),15602
Waiting to Exhale (1995),31357
Father of the Bride Part II (1995),11862
Heat (1995),949
Sabrina (1995),11860
Tom and Huck (1995),45325
Sudden Death (1995),9091
GoldenEye (1995),710
"American President, The (1995)",9087
Dracula: Dead and Loving It (1995),12110
Balto (1995),21032
Nixon (1995),10858
Cutthroat Island (1995),1408
Casino (1995),524
Sense and Sensibility (1995),4584
Four Rooms (1995),5
Ace Ventura: When Nature Calls (1995),9273
Money Train (1995),11517
Get Shorty (1995),8012
Copycat (1995),1710
Assassins (1995),9691
Powder (1995),12665
Leaving Las Vegas (1995),451
Othello (1995),16420
Now and Then (1995),9263
Persuasion (1995),17015
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",902
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),37557
Dangerous Minds (1995),9909
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),63
Babe (1995),9598
Dead Man Walking (1995),687
It Takes Two (1995),33689
Clueless (1995),9603
"Cry, the Beloved Country (1995)",34615
Richard III (1995),31174
Dead Presidents (1995),11443
Restoration (1995),35196
Mortal Kombat (1995),9312
To Die For (1995),577
How to Make an American Quilt (1995),11861
Seven (a.k.a. Se7en) (1995),807
Pocahontas (1995),10530
When Night Is Falling (1995),8391
"Usual Suspects, The (1995)",629
Mighty Aphrodite (1995),11448
Lamerica (1994),49133
"Big Green, The (1995)",26441
Georgia (1995),97406
Home for the Holidays (1995),9089
"Postman, The (Postino, Il) (1994)",11010
"Indian in the Cupboard, The (1995)",11359
Eye for an Eye (1996),17182
Mr. Holland's Opus (1995),2054
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),10607
Two if by Sea (1996),19760
Bio-Dome (1996),9536
Lawnmower Man 2: Beyond Cyberspace (1996),11525
French Twist (Gazon maudit) (1995),4482
Friday (1995),10634
From Dusk Till Dawn (1996),755
Fair Game (1995),11859
Kicking and Screaming (1995),28387
"Misérables, Les (1995)",48750
Bed of Roses (1996),20927
Big Bully (1996),36929
Screamers (1995),9102
Nico Icon (1995),124626
"Crossing Guard, The (1995)",27526
"Juror, The (1996)",9623
"White Balloon, The (Badkonake sefid) (1995)",46785
Things to Do in Denver When You're Dead (1995),400
Antonia's Line (Antonia) (1995),880
Once Upon a Time... When We Were Colored (1995),146599
Angels and Insects (1995),8447
White Squall (1996),10534
Dunston Checks In (1996),17414
Black Sheep (1996),13997
Nick of Time (1995),2086
Mary Reilly (1996),9095
Vampire in Brooklyn (1995),12158
Beautiful Girls (1996),9283
Broken Arrow (1996),9208
In the Bleak Midwinter (1995),40154
"Hate (Haine, La) (1995)",406
Heidi Fleiss: Hollywood Madam (1995),63076
City Hall (1996),11062
Bottle Rocket (1996),13685
Mr. Wrong (1996),47475
Unforgettable (1996),2045
Happy Gilmore (1996),9614
"Bridges of Madison County, The (1995)",688
Nobody Loves Me (Keiner liebt mich) (1994),11907
Muppet Treasure Island (1996),10874
Catwalk (1996),89333
Braveheart (1995),197
Taxi Driver (1976),103
Rumble in the Bronx (Hont faan kui) (1995),33542
Before and After (1996),43566
Anne Frank Remembered (1995),51352
"Young Poisoner's Handbook, The (1995)",16934
If Lucy Fell (1996),10324
"Steal Big, Steal Little (1995)",78406
"Boys of St. Vincent, The (1992)",32119
Boomerang (1992),11066
Chungking Express (Chung Hing sam lam) (1994),11104
Flirting With Disaster (1996),2074
"NeverEnding Story III, The (1994)",27793
Jupiter's Wife (1994),290157
Pie in the Sky (1996),110972
Jade (1995),11863
Down Periscope (1996),9101
Man of the Year (1995),5757
Up Close and Personal (1996),9302
"Birdcage, The (1996)",11000
"Brothers McMullen, The (1995)",16388
Bad Boys (1995),9737
"Amazing Panda Adventure, The (1995)",30765
"Basketball Diaries, The (1995)",10474
"Awfully Big Adventure, An (1995)",22279
Amateur (1994),30157
Apollo 13 (1995),568
Rob Roy (1995),11780
"Addiction, The (1995)",34996
Batman Forever (1995),414
Beauty of the Day (Belle de jour) (1967),649
Beyond Rangoon (1995),1873
Blue in the Face (1995),5894
Canadian Bacon (1995),1775
Casper (1995),8839
Clockers (1995),20649
Congo (1995),10329
Crimson Tide (1995),8963
Crumb (1994),26564
Desperado (1995),8068
Devil in a Blue Dress (1995),8512
Die Hard: With a Vengeance (1995),1572
"Doom Generation, The (1995)",13552
First Knight (1995),6520
Free Willy 2: The Adventure Home (1995),9073
Hackers (1995),10428
Jeffrey (1995),17447
Johnny Mnemonic (1995),9886
Judge Dredd (1995),9482
Jury Duty (1995),19326
Kids (1995),9344
Living in Oblivion (1995),9071
Lord of Illusions (1995),8973
Love & Human Remains (1993),15730
Mad Love (1995),47608
Mallrats (1995),2293
Mighty Morphin Power Rangers: The Movie (1995),9070
Mute Witness (1994),48787
Nadja (1994),34574
"Net, The (1995)",1642
Nine Months (1995),11472
Party Girl (1995),36196
"Prophecy, The (1995)",11980
Reckless (1995),58372
Safe (1995),32646
"Scarlet Letter, The (1995)",10533
Showgirls (1995),10802
Smoke (1995),10149
Something to Talk About (1995),18402
Species (1995),9348
Strange Days (1995),281
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",5967
Three Wishes (1995),47939
Total Eclipse (1995),36834
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",9090
Under Siege 2: Dark Territory (1995),3512
Unstrung Heroes (1995),52856
Unzipped (1995),77350
"Walk in the Clouds, A (1995)",9560
Waterworld (1995),9804
White Man's Burden (1995),31611
Wild Bill (1995),65796
"Browning Version, The (1994)",49805
Bushwhacked (1995),26258
Burnt by the Sun (Utomlyonnye solntsem) (1994),50797
Before the Rain (Pred dozhdot) (1994),19155
Before Sunrise (1995),76
Billy Madison (1995),11017
"Babysitter, The (1995)",37141
Boys on the Side (1995),9382
"Cure, The (1995)",6715
Castle Freak (1995),18256
Circle of Friends (1995),22625
Clerks (1994),2292
Don Juan DeMarco (1995),1909
Disclosure (1994),8984
Drop Zone (1994),4954
Destiny Turns on the Radio (1995),62488
Death and the Maiden (1994),10531
Dolores Claiborne (1995),11929
Dumb & Dumber (Dumb and Dumber) (1994),8467
Eat Drink Man Woman (Yin shi nan nu) (1994),10451
Exotica (1994),20156
Exit to Eden (1994),18395
Ed Wood (1994),522
French Kiss (1995),397
Forget Paris (1995),10525
Far From Home: The Adventures of Yellow Dog (1995),27985
"Goofy Movie, A (1995)",15789
Hideaway (1995),27303
Fluke (1995),21183
Farinelli: il castrato (1994),10954
Gordy (1995),47867
Hoop Dreams (1994),14275
Heavenly Creatures (1994),1024
Houseguest (1994),17207
Immortal Beloved (1994),13701
Heavyweights (Heavy Weights) (1995),14819
"Hunted, The (1995)",32631
I.Q. (1994),11777
Interview with the Vampire: The Vampire Chronicles (1994),628
Jefferson in Paris (1995),87729
"Jerky Boys, The (1995)",18713
Junior (1994),6280
