userId,rating
1,"{862: 4.0, 15602: 4.0, 949: 4.0, 807: 5.0, 629: 5.0, 755: 3.0, 13685: 5.0, 197: 4.0, 11780: 5.0, 1775: 5.0, 8068: 5.0, 11017: 5.0, 2292: 3.0, 8467: 5.0, 522: 4.0, 11: 5.0, 680: 3.0, 2164: 3.0, 11381: 5.0, 9331: 4.0, 13: 4.0, 10714: 5.0, 854: 4.0, 178: 3.0, 9571: 4.0, 5503: 5.0, 329: 4.0, 788: 3.0, 424: 5.0, 10442: 4.0, 10057: 4.0, 11969: 5.0, 581: 4.0, 268: 4.0, 274: 4.0, 10895: 5.0, 275: 5.0, 954: 3.0, 10539: 5.0, 2300: 3.0, 9802: 4.0, 664: 3.0, 602: 3.0, 11363: 4.0, 630: 5.0, 15: 5.0, 10907: 5.0, 22292: 4.0, 3083: 5.0, 14821: 3.0, 81310: 5.0, 15947: 5.0, 9078: 5.0, 11360: 5.0, 11114: 3.0, 12335: 5.0, 12092: 5.0, 9591: 4.0, 10586: 5.0, 10218: 4.0, 252: 5.0, 583: 5.0, 500: 5.0, 792: 4.0, 402: 5.0, 601: 5.0, 2756: 4.0, 762: 5.0, 1891: 5.0, 2493: 5.0, 85: 5.0, 185: 5.0, 28: 4.0, 1892: 5.0, 769: 5.0, 348: 4.0, 539: 2.0, 525: 5.0, 600: 5.0, 10705: 5.0, 3109: 5.0, 218: 5.0, 3063: 5.0, 694: 3.0, 137: 4.0, 105: 5.0, 8009: 5.0, 3034: 5.0, 756: 5.0, 89: 5.0, 12104: 5.0, 653: 4.0, 364: 3.0, 2322: 3.0, 9361: 3.0, 14908: 3.0, 19952: 4.0, 9434: 4.0, 816: 5.0, 1701: 4.0, 754: 5.0, 607: 3.0, 9387: 5.0, 2118: 5.0, 9437: 4.0, 2649: 5.0, 3597: 3.0, 563: 3.0, 115: 5.0, 11003: 4.0, 6970: 4.0, 42807: 5.0, 617: 4.0, 11551: 4.0, 143: 5.0, 1366: 5.0, 13597: 4.0, 941: 4.0, 9340: 5.0, 196: 4.0, 3170: 5.0, 857: 4.0, 10957: 5.0, 10122: 4.0, 9994: 5.0, 9354: 4.0, 9631: 5.0, 9325: 5.0, 11319: 5.0, 13155: 3.0, 10249: 5.0, 10882: 4.0, 13850: 4.0, 97: 4.0, 87: 5.0, 123: 5.0, 15171: 5.0, 11704: 5.0, 4978: 5.0, 11976: 4.0, 34584: 5.0, 4011: 4.0, 847: 4.0, 11597: 2.0, 881: 4.0, 2109: 4.0, 162: 5.0, 73: 5.0, 3600: 2.0, 9798: 5.0, 244: 4.0, 10029: 5.0, 11252: 2.0, 11545: 5.0, 9326: 4.0, 11904: 3.0, 8741: 5.0, 10658: 4.0, 30497: 5.0, 9671: 5.0, 8388: 4.0, 111794: 4.0, 1542: 5.0, 10803: 3.0, 871: 5.0, 100: 5.0, 603: 5.0, 9430: 5.0, 6396: 5.0, 8592: 4.0, 564: 2.0, 1893: 4.0, 1924: 4.0, 8536: 5.0, 138: 4.0, 3035: 4.0, 13666: 5.0, 36685: 3.0, 104: 5.0, 9473: 5.0, 620: 5.0, 10386: 5.0, 2280: 4.0, 1911: 4.0, 14: 5.0, 11527: 5.0, 42518: 5.0, 861: 4.0, 1654: 5.0, 658: 5.0, 657: 5.0, 646: 5.0, 550: 5.0, 5548: 4.0, 856: 5.0, 253: 5.0, 660: 5.0, 492: 4.0, 957: 5.0, 11886: 5.0, 1832: 5.0, 10047: 5.0, 9289: 4.0, 497: 5.0, 624: 4.0, 1213: 1.0, 10406: 3.0, 2005: 3.0, 8872: 5.0, 4234: 5.0, 820: 5.0, 1497: 4.0, 1499: 4.0, 1880: 5.0, 801: 5.0, 11520: 5.0, 526: 4.0, 879: 4.0, 106: 4.0, 98: 5.0, 9285: 4.0, 682: 4.0, 11072: 5.0, 9659: 5.0, 8810: 5.0, 482: 5.0, 6978: 4.0, 479: 4.0, 36657: 5.0, 10276: 4.0, 1857: 4.0, 651: 5.0}"
2,"{278: 3.0, 11381: 4.0, 489: 4.5, 98: 4.0, 24: 4.0, 1538: 3.5, 9718: 4.0, 1422: 4.0, 155: 4.5, 12133: 5.0, 16869: 4.5, 19908: 3.0, 11324: 4.0, 39452: 3.0, 27205: 4.0, 23168: 4.5, 44639: 5.0, 45523: 4.0, 59440: 5.0, 49026: 3.5, 65754: 2.5, 68718: 3.5, 106646: 5.0, 157336: 3.0, 244786: 4.0, 154400: 2.0, 264660: 3.5, 76341: 5.0, 321640: 5.0}"
3,"{9909: 0.5, 424: 0.5, 10684: 0.5, 27281: 0.5, 503475: 0.5, 10061: 5.0, 11113: 0.5, 10537: 0.5, 11816: 0.5, 11778: 0.5, 11202: 0.5, 8009: 3.5, 2323: 0.5, 152: 3.0, 9387: 4.5, 3170: 0.5, 10340: 0.5, 11319: 0.5, 97: 2.0, 1091: 4.0, 9489: 0.5, None: 5.0, 24831: 4.5, 13342: 0.5, 8810: 5.0, 641: 0.5, 11347: 5.0, 11888: 0.5, 54287: 5.0, 28893: 5.0, 21874: 4.5, 38849: 5.0, 12157: 0.5, 39916: 5.0, 49636: 4.5, 13282: 5.0, 98851: 4.5, 26914: 5.0, 14161: 0.5}"
4,"{8012: 3.0, 63: 2.0, 577: 3.0, 807: 2.0, 11448: 3.0, 11010: 3.0, 11907: 4.0, 2074: 5.0, 27793: 1.0, 26564: 5.0, 17447: 3.0, 9071: 5.0, 32646: 2.0, 76: 5.0, 22625: 1.0, 10451: 5.0, 522: 2.0, 1024: 3.0, 11: 5.0, 18183: 5.0, 680: 1.0, 9905: 5.0, 236: 5.0, 2759: 4.0, 11382: 4.0, 10464: 3.0, 712: 3.0, 9359: 4.0, 16771: 2.0, 9571: 1.0, 16297: 2.0, 5503: 5.0, 7984: 5.0, 10440: 5.0, 713: 1.0, 23210: 5.0, 858: 1.0, 11969: 2.0, 812: 4.0, 274: 5.0, 10020: 3.0, 576: 2.0, 275: 5.0, 954: 3.0, 8866: 4.0, 85778: 3.0, 26748: 4.0, 44705: 4.0, 981: 5.0, 872: 4.0, 164: 4.0, 567: 4.0, 213: 5.0, 239: 5.0, 289: 5.0, 11113: 5.0, 630: 5.0, 770: 5.0, 303: 5.0, 18299: 3.0, 9078: 4.0, 10938: 5.0, 9716: 3.0, 10218: 2.0, 252: 4.0, 11561: 5.0, 623: 2.0, 583: 5.0, 475: 5.0, 521: 5.0, 11386: 3.0, 221: 5.0, 762: 5.0, 18129: 4.0, 409: 1.0, 10409: 5.0, 1891: 5.0, 2493: 5.0, 85: 3.0, 68: 2.0, 389: 5.0, 144: 1.0, 769: 4.0, 539: 4.0, 279: 4.0, 826: 5.0, 235: 4.0, 137: 4.0, 33: 4.0, 339: 2.0, 756: 5.0, 288: 5.0, 11031: 4.0, 89: 4.0, 642: 3.0, 75: 1.0, 16448: 5.0, 9366: 4.0, 9434: 4.0, 816: 4.0, 607: 3.0, 8834: 1.0, 2118: 2.0, 9427: 4.0, 489: 1.0, 10217: 4.0, 115: 4.0, 26941: 5.0, 27103: 3.0, 29193: 5.0, 17139: 2.0, 9452: 4.0, 9844: 3.0, 1965: 2.0, 15037: 4.0, 10674: 3.0, 20862: 4.0, 9464: 1.0, 544: 3.0, 1725: 5.0, 15389: 2.0, 13597: 5.0, 2108: 4.0, 346: 2.0, 793: 4.0, 9325: 5.0, 6471: 4.0, 11522: 3.0, 8393: 5.0, 4011: 5.0, 845: 5.0, 21734: 4.0, 31997: 5.0, 11855: 1.0, 637: 1.0, 4518: 2.0, 19426: 4.0, 10162: 4.0, 8545: 5.0, 11545: 3.0, 9326: 4.0, 192: 4.0, 603: 1.0, 9465: 5.0, 9451: 5.0, 1893: 1.0, 817: 4.0, 104: 5.0, 345: 2.0, 745: 4.0, 913: 1.0, 11353: 2.0, 813: 5.0, 1075: 5.0, 14: 5.0, 40867: 4.0, 11901: 4.0, 11054: 5.0, 550: 2.0, 11562: 2.0, 492: 4.0, 957: 4.0, 11498: 5.0, 11663: 4.0, 10399: 3.0, 99: 5.0, 334: 4.0, 926: 1.0, 1213: 4.0, 16241: 4.0, 11287: 4.0, 11004: 4.0, 12186: 3.0, 3114: 5.0, 820: 4.0, 462: 4.0, 243: 2.0, 879: 1.0, 10747: 5.0, 10557: 2.0, 13105: 1.0, 1052: 3.0, 10276: 3.0, 38548: 5.0, 786: 4.0, 13785: 3.0, 71: 4.0, 146: 4.0, 2609: 3.0, 392: 1.0, 2046: 3.0, 5001: 4.0, 134: 3.0, 21991: 3.0, 11973: 4.0, 1900: 5.0, 10499: 3.0, 2614: 4.0, 843: 3.0, 19513: 3.0, 77: 2.0, 4133: 5.0, 634: 4.0, 13898: 3.0, 70282: 2.0, 4973: 4.0, 824: 1.0, 29937: 4.0, 11444: 3.0, 1548: 1.0, 742: 3.0, 18734: 5.0, 10778: 3.0, 671: 4.0, 1433: 4.0, 8342: 5.0}"
5,"{862: 4.0, 8012: 4.0, 9598: 4.0, 687: 4.0, 9603: 3.0, 629: 4.0, 11010: 5.0, 197: 4.0, 568: 3.0, 414: 3.0, 10451: 4.0, 1024: 5.0, 628: 3.0, 9587: 4.0, 18183: 3.0, 4476: 1.0, 527: 5.0, 680: 5.0, 11450: 3.0, 2164: 2.0, 278: 3.0, 3049: 3.0, 9331: 3.0, 712: 2.0, 8587: 3.0, 854: 4.0, 36955: 2.0, 2758: 3.0, 5503: 4.0, 9386: 4.0, 7984: 5.0, 1245: 3.0, 424: 5.0, 11236: 4.0, 10445: 3.0, 812: 4.0, 280: 3.0, 581: 5.0, 268: 3.0, 408: 5.0, 10020: 5.0, 10895: 5.0, 114: 3.0, 275: 3.0}"
6,"{8844: 4.0, 15602: 5.0, 31357: 3.0, 11862: 5.0, 949: 4.0, 11860: 4.0, 45325: 3.0, 710: 3.0, 9087: 4.0, 21032: 3.0, 1408: 4.0, 524: 4.0, 4584: 4.0, 9273: 2.0, 8012: 2.0, 1710: 5.0, 12665: 4.0, 451: 3.0, 16420: 4.0, 9263: 3.0, 9909: 3.0, 63: 4.0, 9598: 4.0, 687: 5.0, 31174: 4.0, 35196: 4.0, 577: 3.0, 11861: 4.0, 807: 4.0, 629: 1.0, 26441: 4.0, 11359: 4.0, 17182: 4.0, 2054: 4.0, 9536: 3.0, 11525: 3.0, 9102: 4.0, 9623: 3.0, 10534: 5.0, 17414: 3.0, 13997: 2.0, 2086: 4.0, 9095: 4.0, 12158: 4.0, 9208: 4.0, 11062: 3.0, 47475: 1.0, 9614: 4.0, 688: 3.0, 197: 5.0, 33542: 4.0, 43566: 3.0, 27793: 3.0, 9101: 3.0, 9302: 3.0, 11000: 4.0, 9737: 4.0, 30765: 4.0, 568: 4.0, 11780: 4.0, 414: 3.0, 8839: 4.0, 20649: 3.0, 10329: 5.0, 8963: 3.0, 8068: 3.0, 1572: 3.0, 6520: 5.0, 10428: 3.0, 17447: 3.0, 19326: 3.0, 8973: 3.0, 47608: 1.0, 2293: 2.0, 9070: 3.0, 1642: 3.0, 11472: 3.0, 58372: 3.0, 10533: 2.0, 18402: 4.0, 9348: 3.0, 47939: 3.0, 3512: 3.0, 52856: 3.0, 9560: 4.0, 9804: 3.0, 31611: 3.0, 65796: 4.0, 26258: 4.0, 11017: 4.0, 37141: 3.0, 9382: 2.0, 6715: 3.0, 22625: 4.0, 1909: 3.0, 8984: 4.0, 11929: 5.0, 8467: 3.0, 18395: 2.0, 397: 4.0, 10525: 4.0, 15789: 3.0, 27303: 3.0, 47867: 3.0, 17207: 5.0, 14819: 4.0, 32631: 3.0, 11777: 4.0, 628: 3.0, 87729: 3.0, 6280: 3.0, 9061: 5.0, 37108: 3.0, 9587: 4.0, 19101: 5.0, 18183: 3.0, 4476: 3.0, 11008: 3.0, 43742: 3.0, 28313: 4.0, 3036: 3.0, 40490: 4.0, 8986: 4.0, 10510: 5.0, 38722: 3.0, 11593: 4.0, 1945: 3.0, 241: 2.0, 9058: 3.0, 18220: 3.0, 6950: 4.0, 101: 3.0, 680: 2.0, 10452: 3.0, 12106: 3.0, 161495: 4.0, 36357: 3.0, 28033: 1.0, 22586: 3.0, 14334: 5.0, 2636: 4.0, 2164: 5.0, 11395: 4.0, 278: 5.0, 9067: 1.0, 193: 4.0, 25066: 3.0, 12122: 3.0, 11381: 5.0, 95963: 3.0, 1587: 5.0, 2064: 4.0, 19855: 4.0, 236: 3.0, 48287: 3.0, 3049: 3.0, 10497: 3.0, 11382: 3.0, 9331: 5.0, 10731: 5.0, 10464: 4.0, 34152: 3.0, 9495: 4.0, 29973: 4.0, 888: 4.0, 13: 5.0, 712: 3.0, 16295: 3.0, 48992: 3.0, 10879: 3.0, 10660: 4.0, 10714: 3.0, 8587: 5.0, 11596: 3.0, 854: 4.0, 9359: 5.0, 36593: 4.0, 12280: 3.0, 11011: 3.0, 1637: 5.0, 15128: 3.0, 36955: 4.0, 10449: 3.0, 10395: 3.0, 12160: 3.0, 8011: 3.0, 2758: 3.0, 10436: 3.0, 9409: 4.0, 11853: 3.0, 11041: 3.0, 4722: 3.0, 11310: 5.0, 9350: 4.0, 9612: 3.0, 26261: 3.0, 11566: 4.0, 26141: 3.0, 16297: 4.0, 37233: 4.0, 1634: 3.0, 5503: 5.0, 35588: 3.0, 41579: 3.0, 9255: 2.0, 10612: 4.0, 2259: 4.0, 106143: 3.0, 9386: 4.0, 7984: 4.0, 15765: 4.0, 329: 5.0, 9593: 3.0, 12121: 3.0, 2246: 3.0, 10502: 4.0, 9516: 3.0, 2320: 3.0, 11971: 3.0, 788: 5.0, 11231: 3.0, 31586: 3.0, 9800: 4.0, 713: 3.0, 8291: 3.0, 1245: 4.0, 11858: 4.0, 8005: 3.0, 14534: 3.0, 424: 3.0, 11236: 3.0, 11592: 3.0, 43535: 3.0, 12519: 3.0, 858: 3.0, 867: 3.0, 13203: 4.0, 10442: 3.0, 9607: 2.0, 9057: 3.0, 10057: 3.0, 11969: 5.0, 31504: 4.0, 10897: 3.0, 251: 5.0, 812: 5.0, 280: 3.0, 581: 5.0, 268: 3.0, 274: 4.0, 408: 4.0, 10020: 5.0, 10895: 3.0, 114: 4.0, 10824: 3.0, 275: 3.0, 25059: 4.0, 10112: 5.0, 1592: 3.0, 19042: 4.0, 9099: 4.0, 10988: 1.0, 10684: 4.0, 10543: 3.0, 25087: 3.0, 20762: 3.0, 12656: 3.0, 25969: 4.0, 9103: 3.0, 8866: 4.0, 12233: 5.0, 23449: 3.0, 36355: 4.0, 9304: 2.0, 664: 5.0, 16299: 3.0, 9879: 1.0, 7095: 3.0, 41225: 3.0, 602: 5.0, 10545: 5.0, 44535: 3.0, 10779: 3.0, 38223: 3.0, 9294: 4.0, 12606: 3.0, 2925: 5.0, 18555: 4.0, 10830: 3.0, 3573: 4.0, 10546: 3.0, 9431: 3.0, 47907: 4.0, 10478: 4.0, 23945: 3.0, 9306: 3.0, 12559: 3.0, 19004: 3.0, 10987: 3.0, 125587: 3.0, 52855: 3.0, 11076: 4.0, 1770: 4.0, 9333: 4.0, 9401: 2.0, 9625: 4.0, 6346: 4.0, 9591: 3.0, 10586: 5.0, 819: 4.0, 11238: 4.0, 252: 3.0, 21711: 4.0, 475: 3.0}"
7,"{862: 4.5, 629: 4.5, 11010: 3.0, 568: 4.5, 1572: 4.0, 11: 5.0, 13: 5.0, 36955: 3.0, 9255: 5.0, 329: 5.0, 251: 2.0, 812: 3.0, 280: 2.5, 268: 3.0, 274: 5.0, 10020: 3.5, 954: 4.0, 935: 4.0, 602: 4.5, 770: 3.0, 62: 4.0, 744: 4.0, 409: 1.5, 1891: 4.0, 28: 4.0, 1892: 4.0, 539: 5.0, 525: 4.5, 218: 5.0, 207: 1.5, 105: 5.0, 816: 3.5, 686: 5.0, 1669: 4.0, 2118: 3.0, 37165: 3.0, 2898: 0.5, 95: 4.0, 544: 1.5, 1366: 4.5, 346: 5.0, 637: 2.0, 9798: 3.5, 871: 5.0, 1893: 1.5, 1924: 3.0, 509: 4.5, 817: 2.0, 2275: 2.5, 8487: 1.5, 2978: 3.5, 745: 4.5, 14: 4.0, 863: 4.5, 2067: 1.5, 462: 4.5, 98: 1.5, 955: 1.0, 36657: 3.5, 37137: 5.0, 10637: 4.0, 4327: 2.5, 9741: 3.0, 3981: 4.0, 853: 2.0, 634: 2.0, 808: 4.0, 676: 0.5, 644: 4.5, 869: 1.0, 9880: 1.5, 3172: 1.5, 167: 3.0, 585: 4.0, 671: 4.0, 161: 4.0, 120: 4.5, 453: 4.5, 425: 3.5, 557: 3.5, 1894: 0.5, 180: 4.0, 608: 3.0, 4147: 3.0, 2675: 1.5, 129: 5.0, 672: 4.5, 121: 4.5, 640: 4.0, 1574: 4.5, 36658: 4.0, 604: 4.0, 1927: 0.5, 22: 4.5, 1584: 4.5, 605: 2.0, 616: 4.5, 122: 4.0, 8696: 3.0, 9509: 4.0, 4909: 4.5, 809: 3.5, 673: 2.5, 9890: 2.0, 9472: 4.5, 558: 4.5, 2502: 3.5, 314: 1.0, 6947: 1.0, 1538: 4.5, 11130: 1.5, 5137: 1.0, 10145: 3.5, 10555: 1.0, 11128: 4.5, 9675: 4.0, 176: 4.0, 1677: 3.5, 9806: 4.0, 5255: 1.0, 866: 2.5, 2059: 2.5, 163: 4.0, 12496: 3.0, 2567: 3.5, 9833: 2.0, 9470: 3.5, 2026: 2.0, 9928: 1.5, 10040: 2.0, 187: 3.5, 1495: 3.5, 1895: 1.0, 272: 2.0, 9722: 1.0, 74: 3.0, 1635: 4.5, 398: 3.5, 9763: 3.5, 9899: 4.5, 36668: 4.0, 920: 4.5, 2044: 1.0, 9697: 0.5, 1452: 1.0, 1422: 1.0, 3683: 4.5, 1427: 2.5, 36557: 4.5, 7551: 3.5, 1581: 0.5, 1125: 3.0}"
8,"{8844: 4.0, 710: 2.0, 9087: 4.0, 8012: 4.0, 63: 3.0, 9598: 5.0, 9603: 3.0, 807: 4.0, 629: 5.0, 197: 3.0, 11000: 3.0, 568: 4.0, 414: 2.0, 1642: 5.0, 11472: 4.0, 9804: 3.0, 8467: 4.0, 522: 3.0, 397: 3.0, 11777: 3.0, 628: 5.0, 1945: 3.0, 6950: 3.0, 680: 4.0, 11395: 3.0, 278: 5.0, 2064: 3.0, 13: 3.0, 712: 5.0, 8587: 5.0, 854: 3.0, 1637: 4.0, 36955: 5.0, 11310: 1.0, 11566: 3.0, 37233: 4.0, 5503: 3.0, 329: 4.0, 788: 2.0, 424: 5.0, 858: 3.0, 771: 3.0, 251: 3.0, 581: 5.0, 268: 3.0, 274: 4.0, 114: 3.0}"
9,"{31174: 3.0, 36196: 3.0, 2292: 4.0, 12280: 3.0, 12520: 3.0, 599: 4.0, 15: 5.0, 10163: 2.0, 9504: 4.0, 85: 5.0, 105: 5.0, 9281: 4.0, 36599: 2.0, 165: 3.0, 196: 4.0, 242: 3.0, 30197: 5.0, 11326: 3.0, 9638: 2.0, 9563: 2.0, 4816: 3.0, 9040: 3.0, 32058: 1.0, 9493: 1.0, 120: 5.0, 425: 4.0, 1894: 3.0, 180: 4.0, 57022: 4.0, 9719: 4.0, 818: 5.0, 7451: 1.0, 13888: 1.0, 10750: 3.0, 36669: 3.0, 6007: 4.0, 25239: 1.0, 25284: 4.0, 2757: 5.0, 121: 5.0, 3131: 4.0, 2149: 1.0, 19067: 4.0, 21332: 2.0, 262: 4.0, 80965: 2.0}"
10,"{680: 1.0, 13: 3.5, 812: 4.0, 114: 3.5, 289: 4.0, 433: 0.5, 88: 3.0, 37247: 3.0, 639: 3.0, 2898: 3.5, 10674: 4.0, 603: 0.5, 509: 3.5, 745: 0.5, 14: 1.0, 550: 0.5, 98: 4.0, 1588: 3.0, 634: 3.5, 808: 4.5, 8835: 4.5, 120: 4.0, 453: 4.0, 10229: 3.0, 245: 3.5, 11529: 3.0, 7303: 3.0, 121: 4.0, 2642: 3.0, 9919: 3.0, 10735: 3.0, 12: 3.5, 10327: 4.0, 508: 4.0, 6964: 4.0, 3635: 3.0, 122: 4.0, 11820: 4.0, 14844: 4.5, 1824: 3.5, 11137: 4.0, 10625: 3.5, 652: 5.0, 594: 3.5, 11036: 5.0, 558: 3.5, 2502: 3.5, 11130: 3.0, 13969: 5.0, 9806: 2.5, 9801: 3.5, 866: 1.0, 205: 3.5, 6961: 2.5, 8488: 4.5, 8976: 3.0, 787: 3.0, 272: 5.0, 4348: 3.0, 69: 4.0, 116: 2.5, 1402: 3.0, 36557: 5.0, 1581: 5.0, 1271: 3.0, 6691: 4.5, 2977: 1.5, 2503: 3.5, 7326: 3.5, 6557: 3.0, 8390: 3.5, 155: 4.5, 10761: 2.5, 9029: 2.0, 11631: 3.0, 5038: 2.0, 12620: 2.5, 10764: 3.5, 8966: 4.5, 10201: 0.5, 10184: 3.5, 14160: 4.0, 18240: 4.5, 767: 3.0, 20943: 3.0, 24803: 0.5, 24684: 5.0, 22947: 2.5, 4475: 3.5, 18239: 3.0, 34653: 3.5, 10198: 3.5, 19995: 2.5, 10528: 3.0, 32856: 3.0, 37565: 2.0, 24021: 3.0, 20352: 5.0, 37735: 3.5, 38357: 2.5, 45269: 5.0, 38757: 3.5, 43347: 3.5, 42888: 2.0, 41630: 3.5, 55787: 3.0, 49444: 3.5, 50646: 4.0, 50014: 3.0, 50619: 3.0, 49026: 5.0, 77338: 5.0, 74534: 4.5, 62177: 4.0, 77930: 4.0, 1930: 3.0, 57800: 3.5, 37724: 5.0, 97365: 0.5, 87827: 1.0, 50620: 3.0, 93456: 4.0, 117251: 4.0, 122906: 4.0, 209263: 2.5, 57158: 3.5, 109445: 4.5, 106646: 1.0, 140823: 2.0, 120467: 0.5, 157336: 0.5, 242042: 4.0, 82881: 4.0, 228194: 4.5, 174337: 4.0, 207703: 1.0, 268238: 3.5, 206647: 5.0, 264999: 4.0, 257211: 5.0}"
